sub_n,disp_cond,block_n,trial_n,computer_n,set,distance,diag,d_identity,t_identity,c_identity,d,c,t,rt
50302,triangle,3,19,3,a-b-da,9,2,3,2,1,9.366477614196022,9.430999338632466,9.524039369902251,4.90996
50302,triangle,3,23,3,a-b-da,2,1,3,1,2,9.2308324215185,9.2308324215185,9.265615906942239,5.02651
50302,triangle,3,24,3,a-b-da,14,2,2,3,1,9.462496052568744,9.398998655939582,9.366477614196022,6.59353
50302,triangle,3,25,3,a-b-da,5,1,3,1,2,9.008381151298051,9.159396256314341,9.008381151298051,10.8119
50302,triangle,3,26,3,a-b-da,5,2,1,2,3,9.554115124631332,9.398998655939582,9.462496052568744,19.4642
50302,triangle,3,28,3,a-b-da,5,3,3,2,1,9.933628195194277,9.858147539228584,9.832340729556767,12.4455
50302,triangle,3,29,3,a-b-da,14,3,3,1,2,9.779706112922021,9.958168380377906,9.858147539228584,31.1013
50302,triangle,3,30,3,a-b-db,2,1,3,2,1,9.333419010293602,8.620069122416137,9.159396256314341,16.5635
50302,triangle,3,31,3,a-b-da,9,1,3,2,1,9.2308324215185,9.2308324215185,9.398998655939582,10.7454
50302,triangle,3,32,3,a-b-db,14,2,1,2,3,9.612942895043918,9.366477614196022,9.670089639932032,9.29439
50302,triangle,3,34,3,a-b-db,14,3,3,2,1,10.1664488988831,10.14434922650993,10.508992340097839,18.1641
50302,triangle,3,36,3,a-b-da,2,3,2,1,3,10.053424478356416,10.053424478356416,9.883625590783444,7.76076
50302,triangle,3,38,3,a-b-db,2,3,1,3,2,10.433511684132146,10.355070257825583,10.471608074073535,4.74332
50302,triangle,3,40,3,a-b-db,9,3,3,1,2,9.779706112922021,9.670089639932032,9.75286007225774,8.41132
50302,triangle,4,1,3,a-b-db,14,3,2,3,1,9.982411101442596,10.18830703994748,10.231319450389408,27.4335
50302,triangle,4,2,3,a-b-db,5,3,2,1,3,10.053424478356416,9.779706112922021,9.75286007225774,7.9941
50302,triangle,4,4,3,a-b-db,2,3,3,2,1,9.883625590783444,9.698062123881511,9.806196566422063,5.37676
50302,triangle,4,8,3,a-b-db,2,2,2,3,1,9.398998655939582,9.583745296201613,9.462496052568744,4.49324
50302,triangle,4,13,3,a-b-da,2,3,3,2,1,9.75286007225774,9.832340729556767,10.006363483536028,7.84427
50302,triangle,4,14,3,a-b-da,2,2,3,2,1,9.698062123881511,9.933628195194277,9.493504425640674,12.7123
50302,triangle,4,15,3,a-b-da,14,2,2,1,3,9.698062123881511,9.698062123881511,9.554115124631332,9.26126
50302,triangle,4,16,3,a-b-db,14,1,2,1,3,9.047217323012255,9.047217323012255,9.159396256314341,18.1639
50302,triangle,4,17,3,a-b-db,9,1,2,1,3,8.845025089269518,8.845025089269518,8.887131907665182,13.6125
50302,triangle,4,18,3,a-b-da,14,1,3,1,2,9.008381151298051,9.195433267319698,9.047217323012255,23.3658
50302,triangle,4,21,3,a-b-db,14,2,2,1,3,9.462496052568744,9.2308324215185,9.462496052568744,15.8301
50302,triangle,4,22,3,a-b-db,2,1,1,2,3,9.265615906942239,9.524039369902251,9.159396256314341,6.86051
50302,triangle,4,23,3,a-b-da,9,1,2,1,3,9.698062123881511,9.398998655939582,9.333419010293602,9.54445
50302,triangle,4,25,3,a-b-da,5,1,3,2,1,8.75805486539004,8.802012678827591,9.195433267319698,10.3283
50302,triangle,4,26,3,a-b-db,5,2,3,1,2,9.75286007225774,9.493504425640674,9.583745296201613,8.42751
50302,triangle,4,27,3,a-b-da,5,2,2,3,1,9.75286007225774,9.398998655939582,9.493504425640674,23.282
50302,triangle,4,28,3,a-b-da,9,3,2,1,3,10.006363483536028,10.099403514805813,9.982411101442596,19.5974
50302,triangle,4,29,3,a-b-da,9,2,2,3,1,9.725648768146183,9.779706112922021,9.698062123881511,9.09504
50302,triangle,4,30,3,a-b-da,2,1,3,1,2,8.75805486539004,9.008381151298051,8.928370482070653,11.3284
50302,triangle,4,32,3,a-b-da,14,3,3,2,1,10.12200262531368,10.314664843190544,10.231319450389408,21.1317
50302,triangle,4,34,3,a-b-da,5,3,2,1,3,10.1664488988831,10.076546123158568,10.1664488988831,22.4489
50302,triangle,4,35,3,a-b-db,9,2,1,3,2,9.299804773660838,9.75286007225774,9.832340729556767,6.62717
50302,triangle,4,38,3,a-b-db,9,3,2,3,1,10.273426268785073,10.076546123158568,10.099403514805813,7.59435
50302,triangle,4,40,3,a-b-db,5,1,3,1,2,9.462496052568744,9.398998655939582,9.430999338632466,7.69419
50304,triangle,1,1,4,a-b-da,5,2,1,3,2,9.195433267319698,9.159396256314341,9.2308324215185,14.9251
50304,triangle,1,2,4,a-b-da,5,3,3,2,1,9.670089639932032,9.612942895043918,9.524039369902251,12.2585
50304,triangle,1,3,4,a-b-db,14,1,3,1,2,8.366565711137849,8.75805486539004,8.667130117236525,17.6585
50304,triangle,1,5,4,a-b-da,14,1,3,1,2,9.047217323012255,9.047217323012255,8.802012678827591,6.29189
50304,triangle,1,8,4,a-b-da,5,1,2,3,1,9.008381151298051,8.968775896705692,9.265615906942239,7.12526
50304,triangle,1,9,4,a-b-db,14,3,2,1,3,9.832340729556767,9.806196566422063,9.883625590783444,9.89193
50304,triangle,1,12,4,a-b-db,5,3,3,1,2,9.982411101442596,9.832340729556767,10.076546123158568,7.32528
50304,triangle,1,13,4,a-b-db,5,1,2,1,3,9.047217323012255,9.195433267319698,9.195433267319698,8.55849
50304,triangle,1,14,4,a-b-da,2,1,3,1,2,9.366477614196022,9.265615906942239,9.333419010293602,6.4586
50304,triangle,1,15,4,a-b-da,14,2,3,2,1,9.832340729556767,9.883625590783444,9.908783155197163,7.09184
50304,triangle,1,18,4,a-b-da,2,3,1,2,3,9.858147539228584,9.554115124631332,9.333419010293602,8.82525
50304,triangle,1,19,4,a-b-da,2,2,1,3,2,9.333419010293602,9.2308324215185,9.299804773660838,6.1252
50304,triangle,1,20,4,a-b-db,2,1,1,3,2,8.620069122416137,8.31176776276162,8.197450935081722,6.15858
50304,triangle,1,21,4,a-b-db,2,2,3,2,1,9.008381151298051,8.713109153685922,8.75805486539004,7.89187
50304,triangle,1,22,4,a-b-db,9,2,3,1,2,8.928370482070653,8.713109153685922,9.122697978977948,6.1919
50304,triangle,1,25,4,a-b-db,2,3,1,2,3,9.832340729556767,9.883625590783444,9.641720369948118,7.39189
50304,triangle,1,26,4,a-b-da,9,1,3,1,2,8.419902205302172,8.713109153685922,8.968775896705692,10.7918
50304,triangle,1,29,4,a-b-db,5,2,2,1,3,9.2308324215185,9.462496052568744,9.75286007225774,5.39192
50304,triangle,1,30,4,a-b-da,14,3,1,2,3,9.883625590783444,10.099403514805813,10.209928872155912,6.79191
50304,triangle,1,32,4,a-b-da,9,2,2,1,3,9.430999338632466,9.75286007225774,9.524039369902251,5.69187
50304,triangle,1,34,4,a-b-da,9,3,3,2,1,10.006363483536028,9.982411101442596,10.006363483536028,6.89188
50304,triangle,1,38,4,a-b-db,9,3,2,1,3,10.006363483536028,9.883625590783444,10.1664488988831,8.92519
50304,triangle,1,39,4,a-b-db,14,2,1,3,2,9.670089639932032,9.806196566422063,9.698062123881511,5.45854
50304,triangle,1,40,4,a-b-db,9,1,2,1,3,8.13774500878236,8.887131907665182,8.667130117236525,5.39182
50304,triangle,2,3,4,a-b-da,5,2,3,1,2,9.670089639932032,9.806196566422063,9.858147539228584,7.72513
50304,triangle,2,4,4,a-b-db,5,1,1,3,2,8.667130117236525,8.522488794077272,9.008381151298051,4.5252
50304,triangle,2,6,4,a-b-da,9,3,1,3,2,10.471608074073535,10.12200262531368,10.314664843190544,9.2919
50304,triangle,2,7,4,a-b-da,14,2,3,2,1,9.725648768146183,9.779706112922021,10.006363483536028,6.35857
50304,triangle,2,8,4,a-b-da,9,2,1,2,3,9.725648768146183,9.958168380377906,9.779706112922021,4.8586
50304,triangle,2,9,4,a-b-db,9,1,3,2,1,8.968775896705692,8.571874019258015,8.366565711137849,7.02521
50304,triangle,2,10,4,a-b-da,5,1,3,1,2,8.802012678827591,8.713109153685922,8.802012678827591,7.2585
50304,triangle,2,12,4,a-b-da,14,3,1,3,2,10.006363483536028,9.883625590783444,10.452650586164447,6.82511
50304,triangle,2,13,4,a-b-da,9,1,1,2,3,8.968775896705692,8.802012678827591,9.085313712953644,5.59219
50304,triangle,2,15,4,a-b-db,14,3,2,3,1,10.18830703994748,10.1664488988831,10.18830703994748,7.25855
50304,triangle,2,16,4,a-b-db,9,3,2,1,3,10.12200262531368,10.209928872155912,10.053424478356416,6.72517
50304,triangle,2,19,4,a-b-da,2,3,3,2,1,10.12200262531368,10.209928872155912,10.209928872155912,5.82505
50304,triangle,2,21,4,a-b-db,5,3,2,1,3,10.314664843190544,10.355070257825583,10.14434922650993,3.65859
50304,triangle,2,22,4,a-b-da,5,3,2,1,3,10.471608074073535,10.252483669050482,10.273426268785073,5.02526
50304,triangle,2,23,4,a-b-da,2,2,1,3,2,10.231319450389408,10.273426268785073,10.099403514805813,6.39186
50304,triangle,2,26,4,a-b-da,2,1,3,2,1,8.366565711137849,8.571874019258015,8.667130117236525,4.99196
50304,triangle,2,28,4,a-b-da,14,1,1,3,2,8.667130117236525,8.845025089269518,9.122697978977948,4.02522
50304,triangle,2,30,4,a-b-db,2,1,1,3,2,9.122697978977948,9.2308324215185,9.159396256314341,5.02524
50304,triangle,2,31,4,a-b-db,2,2,2,3,1,9.333419010293602,9.2308324215185,9.698062123881511,10.5919
