sub_n,disp_cond,block_n,trial_n,set,distance,diag,rsq,d,c,t
50304,triangle,1,39,w,14,2,0.7641923388466515,15836.76856674616,18145.839167134658,16286.0163162095
50304,triangle,1,40,w,9,1,0.7641923388466515,3421.194399759284,7238.229473870885,5808.804816487526
50304,triangle,2,3,h,5,2,0.7641923388466515,15836.76856674616,18145.839167134658,19113.449704440314
50304,triangle,2,4,w,5,1,0.7641923388466515,5808.804816487526,5026.548245743667,8171.28249198705
50304,triangle,2,6,h,9,3,0.7641923388466515,35298.935055734924,24884.555409084758,30171.855845076363
50304,triangle,2,7,h,14,2,0.7641923388466515,16741.547250980013,17671.458676442588,22167.077763729583
50304,triangle,2,8,h,9,2,0.7641923388466515,16741.547250980013,21124.069002737757,17671.458676442588
50304,triangle,2,9,w,9,1,0.7641923388466515,7853.981633974479,5281.017250684438,4300.840342764425
50304,triangle,2,10,h,5,1,0.7641923388466515,6647.610054996007,6082.123377349836,6647.610054996007
50304,triangle,2,12,h,14,3,0.7641923388466515,22167.077763729583,19606.67975105391,34636.059005827476
50304,triangle,2,13,h,9,1,0.7641923388466515,7853.981633974479,6647.610054996007,8824.73376393373
50304,triangle,2,15,w,14,3,0.7641923388466515,26590.44021998399,26015.52876437708,26590.44021998399
50304,triangle,2,16,w,9,3,0.7641923388466515,24884.555409084758,27171.63486089811,23235.21926595011
50304,triangle,2,19,h,2,3,0.7641923388466515,24884.555409084758,27171.63486089811,27171.63486089811
50304,triangle,2,21,w,5,3,0.7641923388466515,30171.855845076363,31415.926535897925,25446.90049407734
50304,triangle,2,22,h,5,3,0.7641923388466515,35298.935055734924,28352.873698647898,28952.917895483544
50304,triangle,2,23,h,2,2,0.7641923388466515,27759.11268711943,28952.917895483544,24328.49350939935
50304,triangle,2,26,h,2,1,0.7641923388466515,4300.840342764425,5281.017250684438,5808.804816487526
50304,triangle,2,28,h,14,1,0.7641923388466515,5808.804816487526,6939.778171779855,9160.884177867829
50304,triangle,2,30,w,2,1,0.7641923388466515,9160.884177867829,10207.034531513229,9503.31777710912
50304,triangle,2,31,w,2,2,0.7641923388466515,11309.733552923257,10207.034531513229,16286.0163162095
50304,triangle,2,32,w,2,3,0.7641923388466515,28352.873698647898,38013.27110843648,26590.44021998399
50304,triangle,2,33,w,5,2,0.7641923388466515,13684.77759903714,16286.0163162095,14102.609421964582
50304,triangle,2,35,w,14,1,0.7641923388466515,8824.73376393373,7238.229473870885,9852.034561657589
50304,triangle,2,36,w,9,2,0.7641923388466515,18626.502843133872,18626.502843133872,18145.839167134658
50304,triangle,2,38,w,14,2,0.7641923388466515,10935.884027146063,12867.963509103793,18626.502843133872
50304,triangle,3,2,w,9,1,0.7641923388466515,5541.769440932395,12076.282160399154,10207.034531513229
50304,triangle,3,3,w,14,3,0.7641923388466515,33329.156461934144,35298.935055734924,32685.129967948204
50304,triangle,3,5,w,14,2,0.7641923388466515,24884.555409084758,24328.49350939935,28352.873698647898
50304,triangle,3,7,h,5,2,0.7641923388466515,18626.502843133872,20611.989400202627,23235.21926595011
50304,triangle,3,10,w,2,1,0.7641923388466515,8824.73376393373,11309.733552923257,10568.317686676066
50304,triangle,3,11,w,5,1,0.7641923388466515,8824.73376393373,9852.034561657589,9160.884177867829
50304,triangle,3,12,h,14,3,0.7641923388466515,23778.71479502116,25446.90049407734,23778.71479502116
50304,triangle,3,13,h,5,3,0.7641923388466515,21124.069002737757,20611.989400202627,22698.00692218624
50304,triangle,3,15,h,2,3,0.7641923388466515,23778.71479502116,29559.245277626385,25446.90049407734
50304,triangle,3,16,h,9,3,0.7641923388466515,30171.855845076363,30171.855845076363,28952.917895483544
50304,triangle,3,19,h,2,1,0.7641923388466515,12468.981242097894,12076.282160399154,12468.981242097894
50304,triangle,3,22,w,5,3,0.7641923388466515,28952.917895483544,19606.67975105391,30171.855845076363
50304,triangle,3,25,w,14,1,0.7641923388466515,6647.610054996007,3631.681107549798,4300.840342764425
50304,triangle,3,28,h,14,2,0.7641923388466515,10207.034531513229,10935.884027146063,8171.28249198705
50304,triangle,3,29,h,5,1,0.7641923388466515,4300.840342764425,3631.681107549798,5541.769440932395
50304,triangle,3,30,h,2,2,0.7641923388466515,4300.840342764425,6361.7251235193335,5541.769440932395
50304,triangle,3,31,h,9,2,0.7641923388466515,6082.123377349836,9503.31777710912,6082.123377349836
50304,triangle,3,32,w,2,3,0.7641923388466515,18626.502843133872,23778.71479502116,22698.00692218624
50304,triangle,3,33,w,2,2,0.7641923388466515,15836.76856674616,13684.77759903714,15836.76856674616
50304,triangle,3,34,w,5,2,0.7641923388466515,12076.282160399154,15393.80400258998,9852.034561657589
50304,triangle,3,35,h,14,1,0.7641923388466515,6647.610054996007,7238.229473870885,5026.548245743667
50304,triangle,3,38,w,9,3,0.7641923388466515,39408.13824663036,38013.27110843648,35968.094290949535
50304,triangle,3,39,h,9,1,0.7641923388466515,9503.31777710912,10935.884027146063,8171.28249198705
50304,triangle,3,40,w,9,2,0.7641923388466515,19606.67975105391,21642.431790580074,22167.077763729583
50304,triangle,4,3,h,5,1,0.7641923388466515,5541.769440932395,7542.96396126909,4071.504079052374
50304,triangle,4,5,w,9,3,0.7641923388466515,21124.069002737757,22698.00692218624,22167.077763729583
50304,triangle,4,6,h,14,1,0.7641923388466515,8171.28249198705,6939.778171779855,6647.610054996007
50304,triangle,4,8,h,9,2,0.7641923388466515,9160.884177867829,9852.034561657589,6939.778171779855
50304,triangle,4,9,h,5,2,0.7641923388466515,8171.28249198705,7542.96396126909,9160.884177867829
50304,triangle,4,11,w,2,3,0.7641923388466515,18626.502843133872,24884.555409084758,15393.80400258998
50304,triangle,4,12,w,5,2,0.7641923388466515,13684.77759903714,16741.547250980013,15393.80400258998
50304,triangle,4,13,h,5,3,0.7641923388466515,23235.21926595011,19606.67975105391,23778.71479502116
50304,triangle,4,14,w,9,1,0.7641923388466515,4536.459791783664,5026.548245743667,4778.362426110078
50304,triangle,4,16,h,2,3,0.7641923388466515,20611.989400202627,20611.989400202627,23235.21926595011
